_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,hours,menu1,menu10,menu10price,menu11,menu11price,menu12,menu12price,menu13,menu13price,menu14,menu14price,menu15,menu15price,menu16,menu16price,menu17,menu17price,menu18,menu18price,menu19,menu19price,menu1price,menu2,menu20,menu20price,menu2price,menu3,menu3price,menu4,menu4price,menu5,menu5price,menu6,menu6price,menu7,menu7price,menu8,menu8price,menu9,menu9price,when_is_this_business_open,hours_gold,menu1_gold,menu1price_gold,menu2_gold,menu2price_gold,menu3_gold,menu3price_gold,menu4_gold,menu4price_gold,menu5_gold,menu5price_gold,menu6_gold,menu6price_gold,url1,url2,url3,url4,url5,url6,url7
932087451,4/13/2016 20:21:57,false,1957663470,,4/13/2016 20:21:17,false,clixsense,1.0,15358816,PRT,04,Vilar,82.155.101.86,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://dl.dropboxusercontent.com/u/17481094/1foodtruck_1.jpg,https://dl.dropboxusercontent.com/u/17481094/1foodtruck_2.jpg,https://dl.dropboxusercontent.com/u/17481094/1foodtruck_3.jpg,,,,
932087451,4/13/2016 20:23:37,false,1957665445,,4/13/2016 20:22:48,false,clixsense,1.0,31778713,IDN,08,Surabaya,180.248.34.88,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://dl.dropboxusercontent.com/u/17481094/1foodtruck_1.jpg,https://dl.dropboxusercontent.com/u/17481094/1foodtruck_2.jpg,https://dl.dropboxusercontent.com/u/17481094/1foodtruck_3.jpg,,,,
932087452,4/13/2016 20:21:16,false,1957662514,,4/13/2016 20:19:13,false,clixsense,1.0,15358816,PRT,04,Vilar,82.155.101.86,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://dl.dropboxusercontent.com/u/17481094/2foodtruck_1.jpg,https://dl.dropboxusercontent.com/u/17481094/2foodtruck_2.jpg,https://dl.dropboxusercontent.com/u/17481094/2foodtruck_3.jpg,https://dl.dropboxusercontent.com/u/17481094/2foodtruck_4.jpg,https://dl.dropboxusercontent.com/u/17481094/2foodtruck_5.jpg,https://dl.dropboxusercontent.com/u/17481094/2foodtruck_6.jpg,https://dl.dropboxusercontent.com/u/17481094/2foodtruck_7.jpg
932087452,4/13/2016 20:22:39,false,1957664260,,4/13/2016 20:19:30,false,neodev,1.0,34985385,SRB,00,Belgrade,79.101.91.98,No,Tofu,,,,,,,,,,,,,,,,,,,,,$4.50,Vegetable,,,$4.50,Beef,$5,Chicken,$5,,,,,,,,,,,,,,,,,,,,,,,,,https://dl.dropboxusercontent.com/u/17481094/2foodtruck_1.jpg,https://dl.dropboxusercontent.com/u/17481094/2foodtruck_2.jpg,https://dl.dropboxusercontent.com/u/17481094/2foodtruck_3.jpg,https://dl.dropboxusercontent.com/u/17481094/2foodtruck_4.jpg,https://dl.dropboxusercontent.com/u/17481094/2foodtruck_5.jpg,https://dl.dropboxusercontent.com/u/17481094/2foodtruck_6.jpg,https://dl.dropboxusercontent.com/u/17481094/2foodtruck_7.jpg
932087452,4/13/2016 21:26:40,false,1957750489,,4/13/2016 21:19:33,false,clixsense,1.0,34183330,IDN,04,Jakarta,180.214.233.2,No,TOFU,MEATBALLS,$6,COMBINATION,$7,SALAD,$1.50,AVOCADO SALAD,$2,GOYZA,$3,SHUMAI,$3,,,,,,,,,$4.50,VEGETABLE,,,$4.50,CHICKEN,$5,BEEF,$5,PORK CHOP,$5,TUNA,$6,SALMON,$6,SEAFOOD,$6,CHICKEN,$6,,,,,,,,,,,,,,,https://dl.dropboxusercontent.com/u/17481094/2foodtruck_1.jpg,https://dl.dropboxusercontent.com/u/17481094/2foodtruck_2.jpg,https://dl.dropboxusercontent.com/u/17481094/2foodtruck_3.jpg,https://dl.dropboxusercontent.com/u/17481094/2foodtruck_4.jpg,https://dl.dropboxusercontent.com/u/17481094/2foodtruck_5.jpg,https://dl.dropboxusercontent.com/u/17481094/2foodtruck_6.jpg,https://dl.dropboxusercontent.com/u/17481094/2foodtruck_7.jpg
932087454,4/13/2016 20:22:15,false,1957663789,,4/13/2016 20:21:58,false,clixsense,1.0,15358816,PRT,04,Vilar,82.155.101.86,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://dl.dropboxusercontent.com/u/17481094/4foodtruck_1.jpg,https://dl.dropboxusercontent.com/u/17481094/4foodtruck_2.jpg,https://dl.dropboxusercontent.com/u/17481094/4foodtruck_3.jpg,https://dl.dropboxusercontent.com/u/17481094/4foodtruck_4.jpg,https://dl.dropboxusercontent.com/u/17481094/4foodtruck_5.jpg,https://dl.dropboxusercontent.com/u/17481094/4foodtruck_6.jpg,
932087455,4/13/2016 20:21:10,false,1957662423,,4/13/2016 20:18:12,false,neodev,1.0,36105825,RUS,66,Saint Petersburg,95.27.58.102,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://dl.dropboxusercontent.com/u/17481094/5foodtruck_1.jpg,https://dl.dropboxusercontent.com/u/17481094/5foodtruck_2.jpg,https://dl.dropboxusercontent.com/u/17481094/5foodtruck_3.jpg,,,,
932087455,4/13/2016 21:34:33,false,1957760765,,4/13/2016 21:13:14,false,neodev,1.0,36956678,UKR,15,Lviv,194.44.121.5,No,Chicken Over Rice / Salad,Special Combon Over Rice / Salad,$6,Chicken on Pita,$4,Lamb on Pita,$4,Combo on Pita,$4,Chicken Kebab on Pita,$4,Fish on Pita,$5,Falafel on Pita,$4,,,,,,,$5,Lamb Over Rice / Salad,,,$5,Falafel Over Rice / Salad,$5,Mix Vegi Over Rice / Salad,$5,Chicken Kebab Over Rice / Salad,$5,Fish Over Rice / Salad,$6,Fish & Chicken Over Rice / Salad,$6,Chicken Falafel Combo,$5,combon over rice / salad,$5,,,,,,,,,,,,,,,https://dl.dropboxusercontent.com/u/17481094/5foodtruck_1.jpg,https://dl.dropboxusercontent.com/u/17481094/5foodtruck_2.jpg,https://dl.dropboxusercontent.com/u/17481094/5foodtruck_3.jpg,,,,
932087457,4/13/2016 20:26:07,false,1957669035,,4/13/2016 20:20:20,false,neodev,1.0,35344996,VEN,15,Carrizal,190.75.34.211,No,N/a,N/a,$0,N/a,$0,N/a,$0,N/a,$0,N/a,$0,N/a,$0,N/a,$0,N/a,$0,N/a,$0,N/a,$0,$0,N/a,N/a,$0,$0,N/a,$0,N/a,$0,N/a,$0,N/a,$0,N/a,$0,N/a,$0,n/a,$0,,,,,,,,,,,,,,,https://dl.dropboxusercontent.com/u/17481094/7foodtruck_1.jpg,https://dl.dropboxusercontent.com/u/17481094/7foodtruck_2.jpg,,,,,
932087457,4/13/2016 20:29:17,false,1957673022,,4/13/2016 20:19:18,false,clixsense,1.0,31847168,SRB,"","",178.220.20.166,No,Tiramisu Traditional,,,,,,,,,,,,,,,,,,,,,$1.50,Tiramisu Large,,,$2.50,Samoa Girl Scout Cookie,$3.50,Blueberry Tres Leches Cake,$4,Creme Bruelee,$4,,,,,,,,,,,,,,,,,,,,,,,https://dl.dropboxusercontent.com/u/17481094/7foodtruck_1.jpg,https://dl.dropboxusercontent.com/u/17481094/7foodtruck_2.jpg,,,,,
